Name,age,Grand Slam Wins
Novak Djokovic,36,24
Rafael Nadal,37,22
Roger Federer,42,20
Andy Murray,36,3
Stan Wawrinka,38,3
Carlos Alcaraz,20,2
Lleyton Hewitt,42,2
Marat Safin,43,2
Marin Čilić,34,1
Juan Martín del Potro,34,1
Juan Carlos Ferrero,43,1
Richard Gasquet,37,1
Daniil Medvedev,27,1
Jürgen Melzer,42,1
Andy Roddick,41,1
Jack Sock,30,1
Dominic Thiem,30,1
José Acasuso,40,0
Nicolás Almagro,38,0
Mario Ančić,39,0
Kevin Anderson,37,0
Igor Andreev,40,0
Félix Auger-Aliassime,23,0
Marcos Baghdatis,38,0
Nikoloz Basilashvili,31,0
Roberto Bautista Agut,35,0
Thomaz Bellucci,35,0
Julien Benneteau,41,0
Tomáš Berdych,37,0
Matteo Berrettini,27,0
James Blake,43,0
Alexander Bublik,26,0
Pablo Carreño Busta,32,0
Marco Cecchinato,30,0
Francisco Cerundolo,25,0
Jérémy Chardy,36,0
Juan Ignacio Chela,44,0
Guillermo Coria,41,0
Borna Ćorić,26,0
Pablo Cuevas,37,0
Alejandro Davidovich Fokina,24,0
Nikolay Davydenko,42,0
Alex de Minaur,24,0
Taylor Dent,42,0
Grigor Dimitrov,32,0
Arnaud Di Pasquale,44,0
Alexandr Dolgopolov,34,0
Kyle Edmund,28,0
Tomas Martin Etcheverry,24,0
Christopher Eubanks,27,0
Dan Evans,33,0
David Ferrer,41,0
Mardy Fish,41,0
Fabio Fognini,36,0
Taylor Fritz,25,0
Guillermo García López,40,0
Cristian Garín,27,0
Robby Ginepri,40,0
David Goffin,32,0
Fernando González,43,0
Ernests Gulbis,35,0
Victor Hănescu,42,0
Ugo Humbert,25,0
Hubert Hurkacz,26,0
John Isner,38,0
Jerzy Janowicz,32,0
Joachim Johansson,41,0
Steve Johnson,33,0
Aslan Karatsev,30,0
Ivo Karlović,44,0
Karen Khachanov,27,0
Martin Kližan,34,0
Philipp Kohlschreiber,39,0
Sebastian Korda,23,0
Łukasz Kubot,41,0
Nick Kyrgios,28,0
Dušan Lajović,33,0
Jiří Lehečka,21,0
Ivan Ljubičić,44,0
Michaël Llodra,43,0
Feliciano López,41,0
Yen-hsun Lu,40,0
Xavier Malisse,43,0
Adrian Mannarino,35,0
Nicolás Massú,43,0
Paul-Henri Mathieu,41,0
Florian Mayer,39,0
Leonardo Mayer,36,0
Juan Mónaco,39,0
Gaël Monfils,37,0
Albert Montañés,42,0
Gilles Müller,40,0
Lorenzo Musetti,21,0
David Nalbandian,41,0
Jarkko Nieminen,42,0
Kei Nishikori,33,0
Yoshihito Nishioka,27,0
Cameron Norrie,28,0
Reilly Opelka,26,0
Benoît Paire,34,0
Tommy Paul,26,0
Guido Pella,33,0
Vasek Pospisil,33,0
Lucas Pouille,29,0
Sam Querrey,35,0
Albert Ramos Viñolas,35,0
Milos Raonic,32,0
Tommy Robredo,41,0
Olivier Rochus,42,0
Andrey Rublev,25,0
Holger Rune,20,0
Casper Ruud,24,0
Roman Safiullin,26,0
Tennys Sandgren,32,0
Diego Schwartzman,31,0
Andreas Seppi,39,0
Denis Shapovalov,24,0
Ben Shelton,20,0
Gilles Simon,38,0
Jannik Sinner,22,0
Robin Söderling,39,0
Lorenzo Sonego,28,0
Paradorn Srichaphan,44,0
Jan-Lennard Struff,33,0
Frances Tiafoe,25,0
Janko Tipsarević,39,0
Bernard Tomic,30,0
Viktor Troicki,37,0
Stefanos Tsitsipas,25,0
Jo-Wilfried Tsonga,38,0
Dmitry Tursunov,40,0
Fernando Verdasco,39,0
Filippo Volandri,42,0
Mikhail Youzhny,41,0
Alexander Zverev,26,0
Mischa Zverev,36,0
